domain,name,type,common_rank,first_rank_total,first_total_births,first_male_births,first_female_births,first_recent_2020_births,first_first_year,first_last_year,first_peak_year,first_peak_year_births,first_best_sex,surname_rank_2010,surname_count_2010,surname_prop100k_2010,rdap_status,checked_at_utc
jourdyn.com,jourdyn,first,12156,12156,860,131,729,21,1989,2020,2018,44,F,,,,available,2026-05-30T06:09:37.115Z
javonna.com,javonna,first,12259,12259,849,0,849,9,1965,2020,1990,41,F,,,,available,2026-05-30T06:09:37.115Z
jawaun.com,jawaun,first,12322,12322,842,842,0,9,1975,2020,1997,78,M,,,,available,2026-05-30T06:09:37.115Z
lakendrick.com,lakendrick,first,12323,12323,842,842,0,8,1973,2020,1991,37,M,,,,available,2026-05-30T06:09:37.115Z
tasheena.com,tasheena,first,12359,12359,838,0,838,0,1973,2013,1985,61,F,,,,available,2026-05-30T06:09:37.115Z
jaquarius.com,jaquarius,first,12365,12365,837,837,0,14,1990,2020,2001,61,M,,,,available,2026-05-30T06:09:37.115Z
jerrald.com,jerrald,first,12382,12382,835,835,0,0,1918,2009,1962,24,M,,,,available,2026-05-30T06:09:37.115Z
trequan.com,trequan,first,12420,12420,831,831,0,11,1991,2020,1999,72,M,,,,available,2026-05-30T06:09:37.115Z
kemarion.com,kemarion,first,12448,12448,828,828,0,33,2002,2020,2008,90,M,,,,available,2026-05-30T06:09:37.115Z
treshaun.com,treshaun,first,12460,12460,827,822,5,16,1992,2020,2006,63,M,,,,available,2026-05-30T06:09:37.115Z
jasmaine.com,jasmaine,first,12485,12485,824,6,818,0,1979,2010,1991,68,F,,,,available,2026-05-30T06:09:37.115Z
jaleigh.com,jaleigh,first,12493,12493,823,0,823,33,1993,2020,2009,56,F,,,,available,2026-05-30T06:09:37.115Z
janylah.com,janylah,first,12630,12630,808,0,808,84,2002,2020,2019,91,F,,,,available,2026-05-30T06:09:37.115Z
ardyth.com,ardyth,first,12682,12682,802,0,802,0,1912,1968,1935,35,F,,,,available,2026-05-30T06:09:37.115Z
jaquavious.com,jaquavious,first,12711,12711,800,800,0,10,1992,2020,2004,60,M,,,,available,2026-05-30T06:09:37.115Z
tiyanna.com,tiyanna,first,12772,12772,795,0,795,0,1979,2019,2005,43,F,,,,available,2026-05-30T06:09:37.115Z
johnthan.com,johnthan,first,12799,12799,792,792,0,0,1954,2013,1991,36,M,,,,available,2026-05-30T06:09:37.115Z
deontre.com,deontre,first,12926,12926,780,780,0,5,1983,2020,1995,63,M,,,,available,2026-05-30T06:09:37.115Z
shamyra.com,shamyra,first,12991,12991,775,0,775,0,1976,2017,2007,36,F,,,,available,2026-05-30T06:09:37.115Z
lynnsey.com,lynnsey,first,13052,13052,770,0,770,0,1978,2015,1989,38,F,,,,available,2026-05-30T06:09:37.115Z
kieara.com,kieara,first,13098,13098,766,0,766,0,1987,2014,1991,52,F,,,,available,2026-05-30T06:09:37.115Z
laquana.com,laquana,first,13129,13129,763,0,763,0,1971,2001,1979,49,F,,,,available,2026-05-30T06:09:37.115Z
tamiah.com,tamiah,first,13136,13136,763,0,763,10,1991,2020,2003,65,F,,,,available,2026-05-30T06:09:37.115Z
tinesha.com,tinesha,first,13143,13143,762,0,762,0,1969,2003,1982,42,F,,,,available,2026-05-30T06:09:37.115Z
chrisopher.com,chrisopher,first,13184,13184,757,757,0,0,1958,2015,1985,44,M,,,,available,2026-05-30T06:09:37.115Z
janyia.com,janyia,first,13200,13200,756,0,756,12,1997,2020,2006,87,F,,,,available,2026-05-30T06:09:37.115Z
darriel.com,darriel,first,13239,13239,752,598,154,9,1931,2020,1959,19,M,,,,available,2026-05-30T06:09:37.115Z
jaycion.com,jaycion,first,13368,13368,741,741,0,60,2007,2020,2013,150,M,,,,available,2026-05-30T06:09:37.115Z
shatavia.com,shatavia,first,13384,13384,740,0,740,0,1977,2014,1993,45,F,,,,available,2026-05-30T06:09:37.115Z
jasiyah.com,jasiyah,first,13404,13404,738,297,441,40,2002,2020,2012,40,F,,,,available,2026-05-30T06:09:37.115Z
jermal.com,jermal,first,13405,13405,738,738,0,0,1969,2017,1982,33,M,,,,available,2026-05-30T06:09:37.115Z
brittiany.com,brittiany,first,13415,13415,737,0,737,0,1980,1999,1990,88,F,,,,available,2026-05-30T06:09:37.115Z
josalynn.com,josalynn,first,13445,13445,735,0,735,11,1977,2020,2009,52,F,,,,available,2026-05-30T06:09:37.115Z
tyrece.com,tyrece,first,13474,13474,733,733,0,5,1973,2020,1999,72,M,,,,available,2026-05-30T06:09:37.115Z
kynsley.com,kynsley,first,13517,13517,729,0,729,74,1999,2020,2018,90,F,,,,available,2026-05-30T06:09:37.115Z
climmie.com,climmie,first,13606,13606,721,260,461,0,1900,1980,1918,17,F,,,,available,2026-05-30T06:09:37.115Z
analiah.com,analiah,first,13624,13624,720,0,720,56,2002,2020,2009,68,F,,,,available,2026-05-30T06:09:37.115Z
aniylah.com,aniylah,first,13655,13655,717,0,717,57,2004,2020,2015,69,F,,,,available,2026-05-30T06:09:37.115Z
dayvion.com,dayvion,first,13735,13735,710,710,0,20,1994,2020,2008,60,M,,,,available,2026-05-30T06:09:37.115Z
kenzleigh.com,kenzleigh,first,13796,13796,704,0,704,54,2006,2020,2017,89,F,,,,available,2026-05-30T06:09:37.115Z
demetrick.com,demetrick,first,13822,13822,701,701,0,0,1967,2016,1978,32,M,,,,available,2026-05-30T06:09:37.115Z
jaquon.com,jaquon,first,13840,13840,700,700,0,0,1988,2018,2000,57,M,,,,available,2026-05-30T06:09:37.115Z
tyiesha.com,tyiesha,first,13860,13860,699,0,699,0,1974,2006,1991,64,F,,,,available,2026-05-30T06:09:37.115Z
lubertha.com,lubertha,first,13896,13896,696,0,696,0,1898,1963,1922,32,F,,,,available,2026-05-30T06:09:37.115Z
christapher.com,christapher,first,13957,13957,691,691,0,0,1964,2016,1990,28,M,,,,available,2026-05-30T06:09:37.115Z
maddilynn.com,maddilynn,first,13976,13976,690,0,690,35,2002,2020,2016,70,F,,,,available,2026-05-30T06:09:37.115Z
dajanae.com,dajanae,first,14029,14029,684,0,684,0,1988,2018,2000,53,F,,,,available,2026-05-30T06:09:37.115Z
dreshawn.com,dreshawn,first,14041,14041,683,683,0,11,1991,2020,2003,50,M,,,,available,2026-05-30T06:09:37.115Z
jerlean.com,jerlean,first,14046,14046,683,0,683,0,1914,1964,1932,26,F,,,,available,2026-05-30T06:09:37.115Z
makennah.com,makennah,first,14048,14048,683,0,683,13,1995,2020,2007,51,F,,,,available,2026-05-30T06:09:37.115Z
jakeria.com,jakeria,first,14057,14057,682,0,682,6,1990,2020,2001,44,F,,,,available,2026-05-30T06:09:37.115Z
aydenn.com,aydenn,first,14070,14070,681,668,13,10,2004,2020,2011,147,M,,,,available,2026-05-30T06:09:37.115Z
rosiland.com,rosiland,first,14078,14078,681,0,681,0,1942,1984,1962,33,F,,,,available,2026-05-30T06:09:37.115Z
lariyah.com,lariyah,first,14089,14089,680,0,680,38,2004,2020,2010,72,F,,,,available,2026-05-30T06:09:37.115Z
jawuan.com,jawuan,first,14143,14143,676,676,0,0,1980,2018,1997,62,M,,,,available,2026-05-30T06:09:37.115Z
shaliyah.com,shaliyah,first,14179,14179,674,0,674,5,1994,2020,2002,59,F,,,,available,2026-05-30T06:09:37.115Z
lenoard.com,lenoard,first,14225,14225,670,670,0,0,1912,1983,1929,19,M,,,,available,2026-05-30T06:09:37.115Z
diontae.com,diontae,first,14233,14233,669,669,0,6,1981,2020,2000,35,M,,,,available,2026-05-30T06:09:37.115Z
djuana.com,djuana,first,14234,14234,669,0,669,0,1951,2002,1964,190,F,,,,available,2026-05-30T06:09:37.115Z
ellisyn.com,ellisyn,first,14260,14260,667,0,667,52,2004,2020,2018,96,F,,,,available,2026-05-30T06:09:37.115Z
demontae.com,demontae,first,14300,14300,665,665,0,11,1988,2020,2009,41,M,,,,available,2026-05-30T06:09:37.115Z
jossue.com,jossue,first,14354,14354,661,661,0,5,1978,2020,2006,30,M,,,,available,2026-05-30T06:09:37.115Z
keionna.com,keionna,first,14392,14392,658,0,658,6,1979,2020,2001,36,F,,,,available,2026-05-30T06:09:37.115Z
tykeria.com,tykeria,first,14693,14693,638,0,638,0,1990,2013,2000,53,F,,,,available,2026-05-30T06:09:37.115Z
aliyanna.com,aliyanna,first,14695,14695,637,0,637,36,1999,2020,2015,62,F,,,,available,2026-05-30T06:09:37.115Z
maniyah.com,maniyah,first,14703,14703,637,0,637,24,1998,2020,2009,49,F,,,,available,2026-05-30T06:09:37.115Z
breaunna.com,breaunna,first,14715,14715,635,0,635,0,1985,2014,1996,43,F,,,,available,2026-05-30T06:09:37.115Z
treyvion.com,treyvion,first,14779,14779,631,631,0,8,1993,2020,2006,48,M,,,,available,2026-05-30T06:09:37.115Z
shakeema.com,shakeema,first,14818,14818,629,0,629,0,1974,2005,1993,47,F,,,,available,2026-05-30T06:09:37.115Z
joesphine.com,joesphine,first,14833,14833,628,0,628,0,1908,2013,1922,23,F,,,,available,2026-05-30T06:09:37.115Z
amayrani.com,amayrani,first,14863,14863,625,0,625,20,1991,2020,2010,35,F,,,,available,2026-05-30T06:09:37.115Z
tywanna.com,tywanna,first,14879,14879,625,0,625,0,1948,1998,1974,37,F,,,,available,2026-05-30T06:09:37.115Z
deatrice.com,deatrice,first,14938,14938,621,0,621,0,1944,1993,1962,39,F,,,,available,2026-05-30T06:09:37.115Z
tresean.com,tresean,first,14946,14946,621,621,0,7,1992,2020,2007,43,M,,,,available,2026-05-30T06:09:37.115Z
brinleigh.com,brinleigh,first,14975,14975,618,0,618,70,2001,2020,2017,82,F,,,,available,2026-05-30T06:09:37.115Z
aniyla.com,aniyla,first,14992,14992,617,0,617,41,2002,2020,2014,62,F,,,,available,2026-05-30T06:09:37.115Z
naidelyn.com,naidelyn,first,15004,15004,617,0,617,14,1998,2020,1998,78,F,,,,available,2026-05-30T06:09:37.115Z
