domain,name,type,common_rank,first_rank_total,first_total_births,first_male_births,first_female_births,first_recent_2020_births,first_first_year,first_last_year,first_peak_year,first_peak_year_births,first_best_sex,surname_rank_2010,surname_count_2010,surname_prop100k_2010,rdap_status,checked_at_utc
annaliyah.com,annaliyah,first,25424,25424,243,0,243,19,2003,2020,2016,31,F,,,,available,2026-05-30T06:09:37.115Z
gareld.com,gareld,first,25440,25440,243,243,0,0,1913,1968,1935,11,M,,,,available,2026-05-30T06:09:37.115Z
geneive.com,geneive,first,25441,25441,243,0,243,0,1913,1962,1922,13,F,,,,available,2026-05-30T06:09:37.115Z
nethaniel.com,nethaniel,first,25455,25455,243,243,0,0,1991,2019,2004,16,M,,,,available,2026-05-30T06:09:37.115Z
shateria.com,shateria,first,25458,25458,243,0,243,0,1984,2005,1991,23,F,,,,available,2026-05-30T06:09:37.115Z
dreshaun.com,dreshaun,first,25483,25483,242,242,0,7,1994,2020,2003,24,M,,,,available,2026-05-30T06:09:37.115Z
jaquise.com,jaquise,first,25496,25496,242,202,40,0,1988,2017,2005,18,M,,,,available,2026-05-30T06:09:37.115Z
zailynn.com,zailynn,first,25526,25526,242,0,242,27,2008,2020,2015,28,F,,,,available,2026-05-30T06:09:37.115Z
daveyon.com,daveyon,first,25539,25539,241,241,0,0,1992,2018,2006,23,M,,,,available,2026-05-30T06:09:37.115Z
dayshia.com,dayshia,first,25541,25541,241,0,241,0,1987,2011,1998,26,F,,,,available,2026-05-30T06:09:37.115Z
keysean.com,keysean,first,25555,25555,241,241,0,0,1996,2016,2002,21,M,,,,available,2026-05-30T06:09:37.115Z
ralpheal.com,ralpheal,first,25567,25567,241,241,0,0,1979,2016,1990,30,M,,,,available,2026-05-30T06:09:37.115Z
shalandra.com,shalandra,first,25574,25574,241,0,241,0,1972,1996,1980,18,F,,,,available,2026-05-30T06:09:37.115Z
willodene.com,willodene,first,25581,25581,241,0,241,0,1918,1942,1928,21,F,,,,available,2026-05-30T06:09:37.115Z
anayely.com,anayely,first,25587,25587,240,0,240,0,1991,2016,2001,30,F,,,,available,2026-05-30T06:09:37.115Z
donovyn.com,donovyn,first,25603,25603,240,240,0,7,1993,2020,2004,19,M,,,,available,2026-05-30T06:09:37.115Z
lakedra.com,lakedra,first,25616,25616,240,0,240,0,1975,2000,1989,17,F,,,,available,2026-05-30T06:09:37.115Z
lamyia.com,lamyia,first,25618,25618,240,0,240,7,1999,2020,2008,19,F,,,,available,2026-05-30T06:09:37.115Z
loletha.com,loletha,first,25621,25621,240,0,240,0,1948,1982,1960,15,F,,,,available,2026-05-30T06:09:37.115Z
trayshawn.com,trayshawn,first,25646,25646,240,240,0,5,1991,2020,2002,16,M,,,,available,2026-05-30T06:09:37.115Z
yuvonne.com,yuvonne,first,25650,25650,240,0,240,0,1923,1981,1946,12,F,,,,available,2026-05-30T06:09:37.115Z
cortavious.com,cortavious,first,25659,25659,239,239,0,5,1990,2020,2002,22,M,,,,available,2026-05-30T06:09:37.115Z
dorthie.com,dorthie,first,25664,25664,239,0,239,0,1915,1951,1923,16,F,,,,available,2026-05-30T06:09:37.115Z
eulice.com,eulice,first,25665,25665,239,234,5,0,1915,1954,1921,16,M,,,,available,2026-05-30T06:09:37.115Z
jonesha.com,jonesha,first,25673,25673,239,0,239,0,1987,2006,1995,23,F,,,,available,2026-05-30T06:09:37.115Z
rhilynn.com,rhilynn,first,25686,25686,239,0,239,16,2007,2020,2011,31,F,,,,available,2026-05-30T06:09:37.115Z
tyleek.com,tyleek,first,25701,25701,239,239,0,6,1989,2020,2004,18,M,,,,available,2026-05-30T06:09:37.115Z
dalaina.com,dalaina,first,25715,25715,238,0,238,0,1968,2017,2008,13,F,,,,available,2026-05-30T06:09:37.115Z
elainna.com,elainna,first,25719,25719,238,0,238,11,1987,2020,2012,18,F,,,,available,2026-05-30T06:09:37.115Z
jazzalyn.com,jazzalyn,first,25725,25725,238,0,238,0,1989,2018,2011,19,F,,,,available,2026-05-30T06:09:37.115Z
kathelyn.com,kathelyn,first,25729,25729,238,0,238,0,1983,2014,1990,18,F,,,,available,2026-05-30T06:09:37.115Z
lashonta.com,lashonta,first,25730,25730,238,0,238,0,1971,2002,1978,21,F,,,,available,2026-05-30T06:09:37.115Z
shaquitta.com,shaquitta,first,25745,25745,238,0,238,0,1975,1996,1993,27,F,,,,available,2026-05-30T06:09:37.115Z
yarelly.com,yarelly,first,25751,25751,238,0,238,5,1995,2020,2012,21,F,,,,available,2026-05-30T06:09:37.115Z
mkenzie.com,mkenzie,first,25789,25789,237,0,237,0,1992,2019,2008,17,F,,,,available,2026-05-30T06:09:37.115Z
rodderick.com,rodderick,first,25798,25798,237,237,0,0,1964,2018,1992,13,M,,,,available,2026-05-30T06:09:37.115Z
tahjae.com,tahjae,first,25806,25806,237,115,122,0,1994,2019,1999,13,F,,,,available,2026-05-30T06:09:37.115Z
jaquell.com,jaquell,first,25831,25831,236,231,5,0,1988,2018,1995,17,M,,,,available,2026-05-30T06:09:37.115Z
loucinda.com,loucinda,first,25842,25842,236,0,236,0,1914,1988,1968,14,F,,,,available,2026-05-30T06:09:37.115Z
trevaun.com,trevaun,first,25863,25863,236,236,0,0,1990,2013,1994,17,M,,,,available,2026-05-30T06:09:37.115Z
tyshae.com,tyshae,first,25864,25864,236,0,236,0,1987,2017,1998,24,F,,,,available,2026-05-30T06:09:37.115Z
aryianna.com,aryianna,first,25874,25874,235,0,235,6,2001,2020,2015,23,F,,,,available,2026-05-30T06:09:37.115Z
charolett.com,charolett,first,25877,25877,235,0,235,0,1927,1977,1958,17,F,,,,available,2026-05-30T06:09:37.115Z
hazelynn.com,hazelynn,first,25891,25891,235,0,235,48,2010,2020,2020,48,F,,,,available,2026-05-30T06:09:37.115Z
laterrica.com,laterrica,first,25901,25901,235,0,235,0,1978,2003,1992,23,F,,,,available,2026-05-30T06:09:37.115Z
mikyah.com,mikyah,first,25913,25913,235,0,235,0,2000,2019,2007,21,F,,,,available,2026-05-30T06:09:37.115Z
nikeisha.com,nikeisha,first,25916,25916,235,0,235,0,1973,2001,1979,15,F,,,,available,2026-05-30T06:09:37.115Z
tanaisha.com,tanaisha,first,25922,25922,235,0,235,0,1974,2008,1993,21,F,,,,available,2026-05-30T06:09:37.115Z
jahnya.com,jahnya,first,25936,25936,234,0,234,0,1997,2016,2008,24,F,,,,available,2026-05-30T06:09:37.115Z
jermarion.com,jermarion,first,25940,25940,234,234,0,6,2001,2020,2007,27,M,,,,available,2026-05-30T06:09:37.115Z
nakyia.com,nakyia,first,25953,25953,234,0,234,0,1985,2019,2004,22,F,,,,available,2026-05-30T06:09:37.115Z
dayshon.com,dayshon,first,25981,25981,233,233,0,0,1986,2012,2000,20,M,,,,available,2026-05-30T06:09:37.115Z
jermari.com,jermari,first,25991,25991,233,233,0,13,1998,2020,2017,17,M,,,,available,2026-05-30T06:09:37.115Z
markeita.com,markeita,first,26001,26001,233,0,233,0,1970,2000,1993,24,F,,,,available,2026-05-30T06:09:37.115Z
shandreka.com,shandreka,first,26013,26013,233,0,233,0,1973,1997,1990,25,F,,,,available,2026-05-30T06:09:37.115Z
daniesha.com,daniesha,first,26032,26032,232,0,232,0,1982,2003,1991,21,F,,,,available,2026-05-30T06:09:37.115Z
jaequan.com,jaequan,first,26039,26039,232,232,0,0,1992,2013,2003,21,M,,,,available,2026-05-30T06:09:37.115Z
jannessa.com,jannessa,first,26040,26040,232,0,232,0,1984,2015,2009,18,F,,,,available,2026-05-30T06:09:37.115Z
kyeisha.com,kyeisha,first,26097,26097,231,0,231,0,1978,2004,1993,16,F,,,,available,2026-05-30T06:09:37.115Z
ahmaud.com,ahmaud,first,26127,26127,230,230,0,24,1997,2020,2020,24,M,,,,available,2026-05-30T06:09:37.115Z
aubreana.com,aubreana,first,26137,26137,230,0,230,0,1992,2019,2012,17,F,,,,available,2026-05-30T06:09:37.115Z
kathalene.com,kathalene,first,26159,26159,230,0,230,0,1914,1979,1954,10,F,,,,available,2026-05-30T06:09:37.115Z
treavon.com,treavon,first,26184,26184,230,230,0,0,1988,2013,1997,19,M,,,,available,2026-05-30T06:09:37.115Z
hernandezcruz.com,hernandezcruz,last,26189,,,,,,,,,,,26189,934,0.32,available,2026-05-30T06:09:37.115Z
jeramyah.com,jeramyah,first,26216,26216,229,229,0,0,1998,2019,2010,24,M,,,,available,2026-05-30T06:09:37.115Z
makeisha.com,makeisha,first,26233,26233,229,0,229,0,1974,2004,1979,22,F,,,,available,2026-05-30T06:09:37.115Z
malajah.com,malajah,first,26234,26234,229,0,229,0,1998,2018,2012,24,F,,,,available,2026-05-30T06:09:37.115Z
tieara.com,tieara,first,26247,26247,229,0,229,0,1981,2005,1989,27,F,,,,available,2026-05-30T06:09:37.115Z
xzayvion.com,xzayvion,first,26248,26248,229,229,0,14,2002,2020,2008,23,M,,,,available,2026-05-30T06:09:37.115Z
ajayla.com,ajayla,first,26254,26254,228,0,228,5,1998,2020,2002,17,F,,,,available,2026-05-30T06:09:37.115Z
aniyha.com,aniyha,first,26255,26255,228,0,228,0,2001,2018,2006,28,F,,,,available,2026-05-30T06:09:37.115Z
makynzi.com,makynzi,first,26286,26286,228,0,228,5,2003,2020,2014,33,F,,,,available,2026-05-30T06:09:37.115Z
teddrick.com,teddrick,first,26303,26303,228,228,0,0,1973,2017,1980,16,M,,,,available,2026-05-30T06:09:37.115Z
uldine.com,uldine,first,26304,26304,228,0,228,0,1920,1937,1927,36,F,,,,available,2026-05-30T06:09:37.115Z
geralene.com,geralene,first,26338,26338,227,0,227,0,1922,1965,1946,13,F,,,,available,2026-05-30T06:09:37.115Z
jazalynn.com,jazalynn,first,26342,26342,227,0,227,9,1999,2020,2011,23,F,,,,available,2026-05-30T06:09:37.115Z
maleeah.com,maleeah,first,26348,26348,227,0,227,13,2003,2020,2013,23,F,,,,available,2026-05-30T06:09:37.115Z
maurisha.com,maurisha,first,26350,26350,227,0,227,0,1979,2006,1992,22,F,,,,available,2026-05-30T06:09:37.115Z
shamieka.com,shamieka,first,26361,26361,227,0,227,0,1975,1993,1979,20,F,,,,available,2026-05-30T06:09:37.115Z
vadhir.com,vadhir,first,26370,26370,227,227,0,25,2010,2020,2011,84,M,,,,available,2026-05-30T06:09:37.115Z
jaquavis.com,jaquavis,first,26412,26412,226,226,0,0,1990,2018,2004,17,M,,,,available,2026-05-30T06:09:37.115Z
luceal.com,luceal,first,26424,26424,226,0,226,0,1894,1954,1918,21,F,,,,available,2026-05-30T06:09:37.115Z
deldrick.com,deldrick,first,26466,26466,225,225,0,0,1971,2008,1979,10,M,,,,available,2026-05-30T06:09:37.115Z
jamontae.com,jamontae,first,26475,26475,225,225,0,5,1993,2020,2004,16,M,,,,available,2026-05-30T06:09:37.115Z
loralye.com,loralye,first,26486,26486,225,0,225,11,2002,2020,2010,24,F,,,,available,2026-05-30T06:09:37.115Z
melvinia.com,melvinia,first,26489,26489,225,0,225,0,1893,1976,1920,10,F,,,,available,2026-05-30T06:09:37.115Z
nyiesha.com,nyiesha,first,26493,26493,225,0,225,0,1977,2006,1991,16,F,,,,available,2026-05-30T06:09:37.115Z
sierria.com,sierria,first,26502,26502,225,0,225,0,1985,2007,2000,20,F,,,,available,2026-05-30T06:09:37.115Z
zanayah.com,zanayah,first,26511,26511,225,0,225,17,2000,2020,2009,17,F,,,,available,2026-05-30T06:09:37.115Z
dawnya.com,dawnya,first,26522,26522,224,0,224,0,1962,1998,1970,18,F,,,,available,2026-05-30T06:09:37.115Z
keiosha.com,keiosha,first,26537,26537,224,0,224,0,1983,2000,1996,22,F,,,,available,2026-05-30T06:09:37.115Z
kyshaun.com,kyshaun,first,26539,26539,224,224,0,0,1996,2019,2008,21,M,,,,available,2026-05-30T06:09:37.115Z
nochum.com,nochum,first,26553,26553,224,224,0,12,1985,2020,2012,19,M,,,,available,2026-05-30T06:09:37.115Z
adraine.com,adraine,first,26573,26573,223,5,218,0,1956,1989,1968,14,F,,,,available,2026-05-30T06:09:37.115Z
ahmiyah.com,ahmiyah,first,26574,26574,223,0,223,11,1999,2020,2010,26,F,,,,available,2026-05-30T06:09:37.115Z
martindelcamp.com,martindelcamp,last,26576,,,,,,,,,,,26576,917,0.31,available,2026-05-30T06:09:37.115Z
gwenetta.com,gwenetta,first,26594,26594,223,0,223,0,1950,1982,1955,14,F,,,,available,2026-05-30T06:09:37.115Z
jalesia.com,jalesia,first,26597,26597,223,0,223,0,1988,2016,1991,28,F,,,,available,2026-05-30T06:09:37.115Z
lilyanah.com,lilyanah,first,26610,26610,223,0,223,5,2004,2020,2012,30,F,,,,available,2026-05-30T06:09:37.115Z
daziyah.com,daziyah,first,26641,26641,222,0,222,13,2003,2020,2013,22,F,,,,available,2026-05-30T06:09:37.115Z
gertrue.com,gertrue,first,26650,26650,222,0,222,0,1905,1936,1919,18,F,,,,available,2026-05-30T06:09:37.115Z
kenyanna.com,kenyanna,first,26667,26667,222,0,222,0,1972,2011,1996,15,F,,,,available,2026-05-30T06:09:37.115Z
raynisha.com,raynisha,first,26677,26677,222,0,222,0,1982,2010,1991,19,F,,,,available,2026-05-30T06:09:37.115Z
rudene.com,rudene,first,26678,26678,222,0,222,0,1914,1961,1950,14,F,,,,available,2026-05-30T06:09:37.115Z
tekesha.com,tekesha,first,26685,26685,222,0,222,0,1971,1990,1979,27,F,,,,available,2026-05-30T06:09:37.115Z
aneita.com,aneita,first,26693,26693,221,0,221,0,1901,1970,1939,14,F,,,,available,2026-05-30T06:09:37.115Z
ariyanah.com,ariyanah,first,26694,26694,221,0,221,0,2003,2019,2015,25,F,,,,available,2026-05-30T06:09:37.115Z
bethene.com,bethene,first,26698,26698,221,0,221,0,1913,1966,1923,12,F,,,,available,2026-05-30T06:09:37.115Z
lizzett.com,lizzett,first,26729,26729,221,0,221,0,1974,2009,1989,12,F,,,,available,2026-05-30T06:09:37.115Z
naidelin.com,naidelin,first,26732,26732,221,0,221,0,2002,2013,2003,66,F,,,,available,2026-05-30T06:09:37.115Z
ryheem.com,ryheem,first,26739,26739,221,221,0,7,1985,2020,1993,20,M,,,,available,2026-05-30T06:09:37.115Z
tywaun.com,tywaun,first,26747,26747,221,221,0,0,1977,2018,2006,15,M,,,,available,2026-05-30T06:09:37.115Z
anallely.com,anallely,first,26756,26756,220,0,220,0,1991,2017,2001,35,F,,,,available,2026-05-30T06:09:37.115Z
breylin.com,breylin,first,26764,26764,220,165,55,12,1997,2020,2010,19,M,,,,available,2026-05-30T06:09:37.115Z
clydell.com,clydell,first,26771,26771,220,137,83,0,1919,1998,1935,9,F,,,,available,2026-05-30T06:09:37.115Z
contrell.com,contrell,first,26773,26773,220,220,0,0,1971,2015,2002,13,M,,,,available,2026-05-30T06:09:37.115Z
cynithia.com,cynithia,first,26774,26774,220,0,220,0,1953,1990,1966,19,F,,,,available,2026-05-30T06:09:37.115Z
gwendola.com,gwendola,first,26780,26780,220,0,220,0,1914,1960,1920,14,F,,,,available,2026-05-30T06:09:37.115Z
haislee.com,haislee,first,26781,26781,220,0,220,78,2013,2020,2020,78,F,,,,available,2026-05-30T06:09:37.115Z
kavonte.com,kavonte,first,26787,26787,220,220,0,0,1991,2016,1995,15,M,,,,available,2026-05-30T06:09:37.115Z
shanavia.com,shanavia,first,26801,26801,220,0,220,0,1977,2010,1992,25,F,,,,available,2026-05-30T06:09:37.115Z
shanieka.com,shanieka,first,26802,26802,220,0,220,0,1976,1997,1990,30,F,,,,available,2026-05-30T06:09:37.115Z
shatonya.com,shatonya,first,26803,26803,220,0,220,0,1970,1994,1980,19,F,,,,available,2026-05-30T06:09:37.115Z
willadene.com,willadene,first,26806,26806,220,0,220,0,1918,1947,1926,18,F,,,,available,2026-05-30T06:09:37.115Z
ziyonna.com,ziyonna,first,26808,26808,220,0,220,8,2004,2020,2012,26,F,,,,available,2026-05-30T06:09:37.115Z
demarea.com,demarea,first,26820,26820,219,219,0,0,1990,2015,1994,16,M,,,,available,2026-05-30T06:09:37.115Z
emmagene.com,emmagene,first,26824,26824,219,0,219,0,1914,2017,1926,19,F,,,,available,2026-05-30T06:09:37.115Z
keniah.com,keniah,first,26833,26833,219,0,219,0,2000,2019,2006,27,F,,,,available,2026-05-30T06:09:37.115Z
kenneith.com,kenneith,first,26834,26834,219,219,0,0,1927,2005,1959,13,M,,,,available,2026-05-30T06:09:37.115Z
tayshon.com,tayshon,first,26855,26855,219,219,0,0,1995,2015,2006,25,M,,,,available,2026-05-30T06:09:37.115Z
tyaire.com,tyaire,first,26858,26858,219,214,5,14,1997,2020,2019,16,M,,,,available,2026-05-30T06:09:37.115Z
zachrey.com,zachrey,first,26859,26859,219,219,0,0,1980,2008,1990,17,M,,,,available,2026-05-30T06:09:37.115Z
addisynn.com,addisynn,first,26860,26860,218,0,218,23,2006,2020,2020,23,F,,,,available,2026-05-30T06:09:37.115Z
amayiah.com,amayiah,first,26861,26861,218,0,218,14,2003,2020,2016,22,F,,,,available,2026-05-30T06:09:37.115Z
anastyn.com,anastyn,first,26862,26862,218,0,218,11,2005,2020,2013,28,F,,,,available,2026-05-30T06:09:37.115Z
gaylia.com,gaylia,first,26878,26878,218,0,218,0,1928,1961,1952,18,F,,,,available,2026-05-30T06:09:37.115Z
janayla.com,janayla,first,26884,26884,218,0,218,13,1998,2020,2009,19,F,,,,available,2026-05-30T06:09:37.115Z
jaquelyne.com,jaquelyne,first,26885,26885,218,0,218,0,1989,2014,2000,24,F,,,,available,2026-05-30T06:09:37.115Z
jaquisha.com,jaquisha,first,26886,26886,218,0,218,0,1984,2002,1991,23,F,,,,available,2026-05-30T06:09:37.115Z
kaedynce.com,kaedynce,first,26887,26887,218,0,218,6,2003,2020,2010,21,F,,,,available,2026-05-30T06:09:37.115Z
shakelia.com,shakelia,first,26914,26914,218,0,218,0,1975,1998,1984,18,F,,,,available,2026-05-30T06:09:37.115Z
shanesha.com,shanesha,first,26916,26916,218,0,218,0,1976,1998,1992,20,F,,,,available,2026-05-30T06:09:37.115Z
trevonn.com,trevonn,first,26922,26922,218,218,0,0,1992,2018,1995,20,M,,,,available,2026-05-30T06:09:37.115Z
captola.com,captola,first,26934,26934,217,0,217,0,1911,1935,1920,18,F,,,,available,2026-05-30T06:09:37.115Z
katrenia.com,katrenia,first,26948,26948,217,0,217,0,1952,1982,1972,13,F,,,,available,2026-05-30T06:09:37.115Z
makyiah.com,makyiah,first,26952,26952,217,0,217,0,2001,2019,2006,20,F,,,,available,2026-05-30T06:09:37.115Z
shanicka.com,shanicka,first,26966,26966,217,0,217,0,1976,1994,1979,18,F,,,,available,2026-05-30T06:09:37.115Z
yaritzy.com,yaritzy,first,26974,26974,217,0,217,6,2002,2020,2008,19,F,,,,available,2026-05-30T06:09:37.115Z
alaija.com,alaija,first,26979,26979,216,0,216,0,1997,2017,2004,23,F,,,,available,2026-05-30T06:09:37.115Z
annastyn.com,annastyn,first,26983,26983,216,0,216,9,2005,2020,2015,29,F,,,,available,2026-05-30T06:09:37.115Z
girtrude.com,girtrude,first,27007,27007,216,0,216,0,1892,1934,1919,16,F,,,,available,2026-05-30T06:09:37.115Z
kalaysia.com,kalaysia,first,27015,27015,216,0,216,12,2000,2020,2013,16,F,,,,available,2026-05-30T06:09:37.115Z
kyisha.com,kyisha,first,27021,27021,216,0,216,0,1973,2001,1979,16,F,,,,available,2026-05-30T06:09:37.115Z
makaylia.com,makaylia,first,27024,27024,216,0,216,0,1993,2012,2005,21,F,,,,available,2026-05-30T06:09:37.115Z
taeshaun.com,taeshaun,first,27046,27046,216,216,0,6,1999,2020,2005,21,M,,,,available,2026-05-30T06:09:37.115Z
charnise.com,charnise,first,27063,27063,215,0,215,0,1971,2009,1991,24,F,,,,available,2026-05-30T06:09:37.115Z
damonique.com,damonique,first,27067,27067,215,0,215,0,1985,2005,1996,19,F,,,,available,2026-05-30T06:09:37.115Z
dayanira.com,dayanira,first,27069,27069,215,0,215,0,1992,2012,2008,70,F,,,,available,2026-05-30T06:09:37.115Z
maryiah.com,maryiah,first,27094,27094,215,0,215,10,1997,2020,2009,18,F,,,,available,2026-05-30T06:09:37.115Z
vashaun.com,vashaun,first,27119,27119,215,209,6,5,1975,2020,1997,17,M,,,,available,2026-05-30T06:09:37.115Z
demontay.com,demontay,first,27132,27132,214,214,0,0,1991,2019,2002,16,M,,,,available,2026-05-30T06:09:37.115Z
jayliah.com,jayliah,first,27140,27140,214,0,214,5,2001,2020,2015,24,F,,,,available,2026-05-30T06:09:37.115Z
kailene.com,kailene,first,27143,27143,214,0,214,0,1985,2018,1993,18,F,,,,available,2026-05-30T06:09:37.115Z
kashlynn.com,kashlynn,first,27146,27146,214,0,214,18,2004,2020,2019,31,F,,,,available,2026-05-30T06:09:37.115Z
kendarious.com,kendarious,first,27151,27151,214,214,0,0,1994,2012,2001,20,M,,,,available,2026-05-30T06:09:37.115Z
nyleah.com,nyleah,first,27165,27165,214,0,214,8,2002,2020,2015,21,F,,,,available,2026-05-30T06:09:37.115Z
shaheim.com,shaheim,first,27175,27175,214,214,0,5,1994,2020,2001,22,M,,,,available,2026-05-30T06:09:37.115Z
tykesha.com,tykesha,first,27181,27181,214,0,214,0,1975,2000,1981,19,F,,,,available,2026-05-30T06:09:37.115Z
yaqueline.com,yaqueline,first,27185,27185,214,0,214,0,1990,2012,2001,24,F,,,,available,2026-05-30T06:09:37.115Z
briceyda.com,briceyda,first,27201,27201,213,0,213,0,1993,2019,2004,21,F,,,,available,2026-05-30T06:09:37.115Z
laiklyn.com,laiklyn,first,27228,27228,213,0,213,33,2006,2020,2019,33,F,,,,available,2026-05-30T06:09:37.115Z
lutisha.com,lutisha,first,27233,27233,213,0,213,0,1904,1994,1971,11,F,,,,available,2026-05-30T06:09:37.115Z
markiesha.com,markiesha,first,27237,27237,213,0,213,0,1976,2001,1992,31,F,,,,available,2026-05-30T06:09:37.115Z
rayshad.com,rayshad,first,27245,27245,213,213,0,0,1983,2017,2000,13,M,,,,available,2026-05-30T06:09:37.115Z
tyrease.com,tyrease,first,27251,27251,213,213,0,0,1987,2019,1999,35,M,,,,available,2026-05-30T06:09:37.115Z
zanylah.com,zanylah,first,27255,27255,213,0,213,26,2007,2020,2019,32,F,,,,available,2026-05-30T06:09:37.115Z
addalee.com,addalee,first,27259,27259,212,0,212,14,2007,2020,2012,24,F,,,,available,2026-05-30T06:09:37.115Z
analeigha.com,analeigha,first,27264,27264,212,0,212,20,2008,2020,2012,20,F,,,,available,2026-05-30T06:09:37.115Z
francenia.com,francenia,first,27277,27277,212,0,212,0,1918,1969,1953,13,F,,,,available,2026-05-30T06:09:37.115Z
marquavis.com,marquavis,first,27290,27290,212,212,0,5,1988,2020,1996,15,M,,,,available,2026-05-30T06:09:37.115Z
martavion.com,martavion,first,27291,27291,212,212,0,0,2000,2019,2009,21,M,,,,available,2026-05-30T06:09:37.115Z
raileigh.com,raileigh,first,27305,27305,212,0,212,10,2002,2020,2013,19,F,,,,available,2026-05-30T06:09:37.115Z
shakeitha.com,shakeitha,first,27314,27314,212,0,212,0,1975,1999,1979,16,F,,,,available,2026-05-30T06:09:37.115Z
areonna.com,areonna,first,27329,27329,211,0,211,0,1995,2014,2004,25,F,,,,available,2026-05-30T06:09:37.115Z
cornesha.com,cornesha,first,27338,27338,211,0,211,0,1985,2007,1996,19,F,,,,available,2026-05-30T06:09:37.115Z
dominigue.com,dominigue,first,27339,27339,211,46,165,0,1978,1993,1985,33,F,,,,available,2026-05-30T06:09:37.115Z
keileigh.com,keileigh,first,27349,27349,211,0,211,0,1997,2017,2012,20,F,,,,available,2026-05-30T06:09:37.115Z
maleeyah.com,maleeyah,first,27356,27356,211,0,211,9,2003,2020,2009,18,F,,,,available,2026-05-30T06:09:37.115Z
wreatha.com,wreatha,first,27374,27374,211,0,211,0,1901,1962,1915,13,F,,,,available,2026-05-30T06:09:37.115Z
jamaury.com,jamaury,first,27398,27398,210,210,0,0,1999,2012,2007,29,M,,,,available,2026-05-30T06:09:37.115Z
makaylyn.com,makaylyn,first,27411,27411,210,0,210,8,1994,2020,2012,18,F,,,,available,2026-05-30T06:09:37.115Z
naszir.com,naszir,first,27421,27421,210,210,0,14,1999,2020,2019,20,M,,,,available,2026-05-30T06:09:37.115Z
tatayana.com,tatayana,first,27439,27439,210,0,210,0,1991,2007,1998,28,F,,,,available,2026-05-30T06:09:37.115Z
xzavien.com,xzavien,first,27446,27446,210,210,0,12,1999,2020,2007,16,M,,,,available,2026-05-30T06:09:37.115Z
jaeliana.com,jaeliana,first,27477,27477,209,0,209,8,2006,2020,2013,42,F,,,,available,2026-05-30T06:09:37.115Z
jermale.com,jermale,first,27481,27481,209,209,0,0,1973,2007,1975,19,M,,,,available,2026-05-30T06:09:37.115Z
julionna.com,julionna,first,27483,27483,209,0,209,11,2000,2020,2009,16,F,,,,available,2026-05-30T06:09:37.115Z
kashayla.com,kashayla,first,27484,27484,209,0,209,0,1986,2016,1997,17,F,,,,available,2026-05-30T06:09:37.115Z
keoshia.com,keoshia,first,27485,27485,209,0,209,0,1983,1998,1994,19,F,,,,available,2026-05-30T06:09:37.115Z
leahna.com,leahna,first,27487,27487,209,0,209,11,1998,2020,2011,20,F,,,,available,2026-05-30T06:09:37.115Z
yoandri.com,yoandri,first,27507,27507,209,209,0,5,2005,2020,2016,98,M,,,,available,2026-05-30T06:09:37.115Z
arkeem.com,arkeem,first,27513,27513,208,208,0,5,1983,2020,1989,27,M,,,,available,2026-05-30T06:09:37.115Z
audrinna.com,audrinna,first,27514,27514,208,0,208,7,2007,2020,2011,33,F,,,,available,2026-05-30T06:09:37.115Z
deondria.com,deondria,first,27523,27523,208,0,208,0,1979,2013,1991,21,F,,,,available,2026-05-30T06:09:37.115Z
joshaua.com,joshaua,first,27536,27536,208,208,0,0,1974,2009,1981,16,M,,,,available,2026-05-30T06:09:37.115Z
klaryssa.com,klaryssa,first,27541,27541,208,0,208,0,1990,2018,1995,14,F,,,,available,2026-05-30T06:09:37.115Z
mayrani.com,mayrani,first,27549,27549,208,0,208,12,2001,2020,2016,17,F,,,,available,2026-05-30T06:09:37.115Z
mckenlee.com,mckenlee,first,27550,27550,208,0,208,7,2000,2020,2014,26,F,,,,available,2026-05-30T06:09:37.115Z
shaquasia.com,shaquasia,first,27567,27567,208,0,208,0,1987,2001,1992,29,F,,,,available,2026-05-30T06:09:37.115Z
teshaun.com,teshaun,first,27571,27571,208,208,0,0,1992,2018,2006,21,M,,,,available,2026-05-30T06:09:37.115Z
ytzel.com,ytzel,first,27578,27578,208,0,208,0,1994,2019,2008,28,F,,,,available,2026-05-30T06:09:37.115Z
dashayla.com,dashayla,first,27595,27595,207,0,207,0,1991,2016,1998,14,F,,,,available,2026-05-30T06:09:37.115Z
destenie.com,destenie,first,27599,27599,207,0,207,0,1988,2011,1997,23,F,,,,available,2026-05-30T06:09:37.115Z
jeriyah.com,jeriyah,first,27606,27606,207,7,200,9,2004,2020,2011,20,F,,,,available,2026-05-30T06:09:37.115Z
keyleigh.com,keyleigh,first,27612,27612,207,0,207,0,1997,2019,2010,24,F,,,,available,2026-05-30T06:09:37.115Z
maddelynn.com,maddelynn,first,27621,27621,207,0,207,12,2003,2020,2014,23,F,,,,available,2026-05-30T06:09:37.115Z
shawntee.com,shawntee,first,27637,27637,207,0,207,0,1972,1993,1977,27,F,,,,available,2026-05-30T06:09:37.115Z
stehanie.com,stehanie,first,27640,27640,207,0,207,0,1968,1994,1987,18,F,,,,available,2026-05-30T06:09:37.115Z
ahmiya.com,ahmiya,first,27660,27660,206,0,206,10,2002,2020,2017,19,F,,,,available,2026-05-30T06:09:37.115Z
aireana.com,aireana,first,27661,27661,206,0,206,0,1994,2015,2006,17,F,,,,available,2026-05-30T06:09:37.115Z
